登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E14344,1,5,chalice,名詞,聖杯、大杯,a large cup used in religious ceremonies,The priest raised a silver chalice.,司祭は銀の聖杯を掲げた。,a poisoned chalice で「厄介な名誉職」という比喩になる。,0,
E14345,1,5,commendation,名詞,表彰、称賛,official praise for good work,The officer received a commendation for bravery.,その警官は勇敢な行為で表彰を受けた。,動詞は commend（褒める）。recommend（勧める）と語源が同じ。,0,
E14346,1,5,coven,名詞,魔女の集まり,a group of witches who meet together,The novel describes a coven meeting in the forest.,その小説は森での魔女の集まりを描いている。,convent（修道院）と語源は同じだが意味は全く違うので注意。,0,
E14347,1,5,criminology,名詞,犯罪学,the study of crime and criminals,She teaches criminology at the university.,彼女は大学で犯罪学を教えている。,crime + -ology（学問）。研究者は criminologist。,0,
E14348,1,5,czar,名詞,皇帝、責任者,"a Russian emperor, or a person with great authority",The president named a new energy czar.,大統領は新しいエネルギー政策の責任者を任命した。,tsar とも書く。米国では政策の最高責任者の意味で使う。,0,
E14349,1,5,duchy,名詞,公国、公爵領,the land ruled by a duke,Luxembourg is a grand duchy in Europe.,ルクセンブルクはヨーロッパの大公国だ。,duke（公爵）の領地。同じ仲間に kingdom（王国）がある。,0,
E14350,1,5,ecumenical,形容詞,全教会の、超教派の,including different Christian churches,The service was an ecumenical event for the whole town.,その礼拝は町全体のための超教派の行事だった。,宗派の壁を越えた活動を指す。転じて「幅広い」の意味にも使う。,0,
E14351,1,5,electrification,名詞,電化,the process of supplying electric power to an area,Rural electrification changed life in the valley.,農村の電化はその谷の暮らしを変えた。,動詞は electrify。鉄道の電化にもよく使われる語。,0,
E14352,1,5,episodic,形容詞,断続的な、挿話的な,"happening now and then, not continuously",He suffers from episodic headaches.,彼は断続的な頭痛に悩まされている。,episode（出来事、1話）の形容詞。連続でないことを表す。,0,
E14353,1,5,extremity,名詞,端、極度、手足,"the furthest point, or a very serious situation",The lighthouse stands at the extremity of the cape.,その灯台は岬の突端に立っている。,複数形 extremities は医学で「手足」を指す。extreme の名詞形。,0,
E14354,1,5,faithfulness,名詞,忠実さ、誠実さ,the quality of staying loyal and true,The dog is known for its faithfulness.,その犬は忠実さで知られている。,形容詞は faithful。翻訳の「原文への忠実さ」にも使う。,0,
E14355,1,5,femur,名詞,大腿骨,the large bone in the upper part of the leg,He broke his femur in a skiing accident.,彼はスキーの事故で大腿骨を折った。,人体で最も長い骨。形容詞は femoral。,0,
E14356,1,5,foxy,形容詞,ずる賢い、キツネのような,"clever in a sly way, like a fox",He gave a foxy smile and said nothing.,彼はずる賢い笑みを浮かべて何も言わなかった。,fox（キツネ）から。人の外見を褒める俗語の用法もある。,0,
E14357,1,5,gelatin,名詞,ゼラチン,a clear substance from animal bones used in food,Add gelatin to help the dessert set.,デザートを固めるためにゼラチンを加えてください。,英国つづりは gelatine。ゼリーやカプセルの材料。,0,
E14358,1,5,gestation,名詞,妊娠期間、構想期間,the time when a baby grows inside the mother,The gestation period of an elephant is very long.,ゾウの妊娠期間はとても長い。,計画が形になるまでの「熟成期間」の比喩にも使う。,0,
E14359,1,5,guillotine,名詞,ギロチン、断裁機,a machine with a heavy blade for cutting,The office has a paper guillotine for large sheets.,その事務所には大きな紙用の断裁機がある。,フランス革命の処刑器具が有名。事務用の紙の裁断機も指す。,0,
E14360,1,5,gusto,名詞,熱意、楽しそうな勢い,great energy and enjoyment,He ate his meal with gusto after the long walk.,長い散歩のあと、彼はおいしそうに食事をたいらげた。,ほぼ with gusto の形で使う。イタリア語で「味」が語源。,0,
E14361,1,5,halfback,名詞,ハーフバック（球技の位置）,a player in a middle position in football or rugby,The halfback ran forty yards for a score.,そのハーフバックは40ヤード走って得点した。,アメフトやラグビーの守備寄りの位置。fullback と対で覚える。,0,
E14362,1,5,headband,名詞,ヘッドバンド、はちまき,a strip of cloth worn around the head,She wore a headband to keep her hair back.,彼女は髪を押さえるためにヘッドバンドをつけていた。,head + band。スポーツやファッションの場面で使う。,0,
E14363,1,5,hernia,名詞,ヘルニア,a condition where an organ pushes through a weak spot,He needed surgery for a hernia in his abdomen.,彼は腹部のヘルニアで手術が必要だった。,医学用語。重い物を持ち上げたときに起きることが多い。,0,
E14364,1,5,hippy,名詞,ヒッピー,a young person of the 1960s who rejected normal rules,His parents met at a hippy festival in 1969.,彼の両親は1969年のヒッピーの祭りで出会った。,hippie とも書く。1960年代の対抗文化を指す語。,0,
E14365,1,5,hummus,名詞,フムス（ひよこ豆のペースト）,a soft food made from crushed chickpeas,We ate hummus with warm flatbread.,私たちは温かい平たいパンにフムスをつけて食べた。,中東の料理。健康的な前菜として世界的に広まった。,0,
E14366,1,5,indiscriminate,形容詞,見境のない、無差別の,done without care about who or what is affected,The report condemned the indiscriminate use of pesticides.,その報告は農薬の見境のない使用を非難した。,discriminate（区別する）の否定形。批判的な文脈で使う。,0,
E14367,1,5,individualism,名詞,個人主義,the belief that personal freedom matters most,American culture is often linked with individualism.,アメリカ文化はしばしば個人主義と結びつけられる。,反対は collectivism（集団主義）。社会学でよく出る語。,0,
E14368,1,5,infernal,形容詞,地獄のような、いまいましい,"extremely unpleasant, or relating to hell",That infernal noise kept me awake all night.,そのいまいましい音のせいで一晩中眠れなかった。,inferno（地獄、大火）と同語源。怒りを表すやや古風な語。,0,
E14369,1,5,jazzy,形容詞,ジャズ風の、派手な,"like jazz music, or bright and showy",He wore a jazzy tie to the party.,彼はパーティーに派手なネクタイをしていった。,音楽の話と服装などの「派手さ」の両方で使う。,0,
E14370,1,5,kingpin,名詞,中心人物、黒幕,the most important person in a group or operation,Police arrested the kingpin of the smuggling ring.,警察は密輸組織の黒幕を逮捕した。,ボウリングの中心のピンが語源。犯罪報道でよく使われる。,0,
E14371,1,5,leprosy,名詞,ハンセン病,a serious disease that damages skin and nerves,Leprosy can now be cured with modern medicine.,ハンセン病は現代の薬で治せるようになった。,歴史の文章にも出る。患者は leper だが差別的なので使用を避ける。,0,
E14372,1,5,lisp,名詞,舌足らずな発音,a way of speaking where s sounds like th,He spoke with a slight lisp as a child.,彼は子どものころ少し舌足らずな話し方をしていた。,動詞としても使える。言語療法の話題でよく出る。,0,
E14373,1,5,molasses,名詞,糖蜜、モラセス,a thick dark sweet liquid made from sugar,The recipe calls for two spoons of molasses.,そのレシピは糖蜜を2さじ必要とする。,as slow as molasses で「とても遅い」という言い方がある。,0,
E14374,1,5,monolithic,形容詞,一枚岩の、巨大で画一的な,"large and unchanging, with no differences inside",The company is less monolithic than it appears.,その会社は見かけほど一枚岩ではない。,mono（一つ）+ lith（石）。組織や制度の批評で使う。,0,
E14375,1,5,mystique,名詞,神秘的な雰囲気,a special quality that makes something seem mysterious,The old hotel still has a certain mystique.,その古いホテルには今もある種の神秘的な雰囲気がある。,フランス語から。mystery より「魅力」の要素が強い。,0,
E14376,1,5,peacetime,名詞,平時、平和な時期,a period when a country is not at war,Such spending is unusual in peacetime.,そのような支出は平時には異例だ。,反対は wartime。in peacetime の形でよく使う。,0,
E14377,1,5,pita,名詞,ピタパン,a flat round bread that can be opened like a pocket,She filled the pita with salad and chicken.,彼女はピタパンにサラダとチキンを詰めた。,中東発祥のパン。pita bread と呼ぶことも多い。,0,
E14378,1,5,portage,名詞,陸路運搬、その道,the act of carrying boats over land between rivers,The route includes a short portage around the falls.,その経路には滝を迂回する短い陸路運搬が含まれる。,カヌー旅行の用語。port（運ぶ）が語源。,0,
E14379,1,5,positional,形容詞,位置の、位置に関する,relating to the place where something is,The error came from a positional mistake in the code.,その誤りはコード内の位置の間違いから生じた。,position の形容詞。チェスやプログラミングでよく使う。,0,
E14380,1,5,postcode,名詞,郵便番号,a group of letters and numbers used in an address,Please write your full address and postcode.,住所と郵便番号を全部書いてください。,英国語。米国では zip code と言う。,0,
E14381,1,5,predictably,副詞,予想どおり、案の定,in a way that was expected,"Predictably, the meeting ran over time.",案の定、その会議は時間を超過した。,文頭に置いて文全体を修飾する使い方が多い。,0,
E14382,1,5,pushy,形容詞,強引な、押しの強い,trying too hard to get what you want,"The salesman was too pushy, so I left.",その店員は強引すぎたので私は店を出た。,push（押す）から。相手を不快にさせる程度の強引さを表す。,0,
E14383,1,5,racecourse,名詞,競馬場,a track where horse races are held,The racecourse was crowded on the final day.,最終日、その競馬場は混雑していた。,英国語。米国では racetrack が一般的。,0,
E14384,1,5,rainwater,名詞,雨水,water that has fallen as rain,They collect rainwater for the garden.,彼らは庭のために雨水をためている。,数えられない名詞。節水や環境の話題でよく出る。,0,
E14385,1,5,reflector,名詞,反射器、反射板,a surface that sends back light,His bicycle has a red reflector on the back.,彼の自転車には後ろに赤い反射板がついている。,reflect（反射する）+ -or。安全用品や望遠鏡の部品を指す。,0,
E14386,1,5,regimental,形容詞,連隊の,relating to a regiment of soldiers,The museum displays old regimental flags.,その博物館は古い連隊旗を展示している。,名詞は regiment（連隊）。軍事や歴史の文章で使う。,0,
E14387,1,5,reread,動詞,読み返す,to read something again,I had to reread the contract to understand it.,私はその契約書を理解するために読み返さねばならなかった。,re-（再び）+ read。過去形も同じつづりで発音だけ変わる。,0,
E14388,1,5,savory,形容詞,塩味の、風味のよい,salty or spicy rather than sweet,The menu offers both sweet and savory pancakes.,その献立には甘いパンケーキと塩味のものの両方がある。,英国つづりは savoury。甘い sweet と対で使う食の語。,0,
E14389,1,5,silvery,形容詞,銀色の、澄んだ音の,"shiny like silver, or clear and soft in sound",The lake had a silvery surface at dawn.,夜明けにその湖の水面は銀色だった。,-y をつけて「～のような」を作る形。音にも使える点が面白い。,0,
E14390,1,5,smartwatch,名詞,スマートウォッチ,a watch that connects to a phone and shows information,His smartwatch tracks his heart rate all day.,彼のスマートウォッチは一日中心拍数を記録する。,近年生まれた合成語。wearable device の代表格。,0,
E14391,1,5,soloist,名詞,独奏者、独唱者,a musician who performs alone,The soloist received a long round of applause.,その独奏者は長い拍手を受けた。,solo（独奏）+ -ist。オーケストラの記事でよく出る。,0,
E14392,1,5,soreness,名詞,痛み、筋肉痛,a feeling of pain in a part of the body,Some soreness after exercise is normal.,運動後に多少の筋肉痛があるのは普通だ。,形容詞は sore。鋭い痛みより「じんじんする痛み」を指す。,0,
E14393,1,5,sphinx,名詞,スフィンクス、なぞめいた人,a stone figure with a lion's body and a human head,We saw the Great Sphinx at sunrise.,私たちは日の出にギザの大スフィンクスを見た。,エジプトの像。転じて「本心の読めない人」も指す。,0,
E14394,1,5,starfish,名詞,ヒトデ,a flat sea animal shaped like a star,A small starfish clung to the rock.,小さなヒトデが岩にくっついていた。,複数形も starfish のままが一般的。sea star とも呼ぶ。,0,
E14395,1,5,succulent,形容詞,汁の多い、多肉の,"juicy and tasty, or thick and full of water",The chef served succulent roast lamb.,料理長は汁気たっぷりの子羊のローストを出した。,名詞では多肉植物。食べ物を褒めるときによく使う。,0,
E14396,1,5,synchronous,形容詞,同期の、同時に起こる,happening at the same time,The class uses synchronous online lessons.,その講座は同時進行のオンライン授業を使う。,反対は asynchronous。オンライン学習やIT で頻出。,0,
E14397,1,5,tasteful,形容詞,趣味のよい、上品な,showing good judgment about style and beauty,The room had tasteful furniture in soft colors.,その部屋には落ち着いた色の上品な家具があった。,tasty（おいしい）とは別語。tasteless は「趣味の悪い」。,0,
E14398,1,5,transcendental,形容詞,超越的な、深遠な,beyond ordinary experience or understanding,The poem explores transcendental themes.,その詩は超越的な主題を探っている。,動詞は transcend（超える）。哲学や宗教の文脈で使う。,0,
E14399,1,5,travesty,名詞,ひどい見せかけ、茶番,a very bad or unfair version of something,The trial was a travesty of justice.,その裁判は正義の茶番だった。,a travesty of justice が最も定番の言い方。tragedy とは別語。,0,
E14400,1,5,unisex,形容詞,男女兼用の,suitable for both men and women,The shop sells unisex jackets.,その店は男女兼用の上着を売っている。,uni（一つ）+ sex（性）。服や美容室の説明でよく使う。,0,
E14401,1,5,vane,名詞,風見、羽根板,a flat piece that turns to show wind direction,An old weather vane sat on the barn roof.,古い風見が納屋の屋根に載っていた。,weather vane（風見鶏）の形が最も多い。vain（むだな）と同音。,0,
E14402,1,5,vengeful,形容詞,復讐心に燃えた,wanting to punish someone who hurt you,The novel's hero becomes vengeful after the betrayal.,その小説の主人公は裏切りのあと復讐心に燃える。,名詞は vengeance（復讐）。revenge と同じ語源。,0,
E14403,1,5,whatnot,名詞,その他いろいろ,other similar things that are not named,"The drawer was full of pens, clips and whatnot.",その引き出しはペンやクリップやその他いろいろでいっぱいだった。,and whatnot の形でしか使わないくだけた言い方。,0,
E14404,1,5,whiteness,名詞,白さ,the quality of being white,The whiteness of the snow hurt our eyes.,雪の白さが目に痛かった。,形容詞 white の名詞形。色の名 + -ness は他の色でも作れる。,0,
E14405,1,5,preside,動詞,議長を務める、統轄する,to be in charge of a meeting or ceremony,The vice president will preside over the meeting.,副社長がその会議の議長を務める。,ほぼ preside over の形。president と同じ語源で「前に座る」。,0,
E14406,1,5,eject,動詞,追い出す、取り出す,to force something or someone out,Press this button to eject the disc.,ディスクを取り出すにはこのボタンを押してください。,e-（外へ）+ ject（投げる）。機械にも人にも使える。,0,
E14407,1,5,clog,動詞,詰まらせる,to block a pipe or passage so nothing can pass,Fallen leaves clogged the drain.,落ち葉が排水口を詰まらせた。,clogged up（詰まった）の形も多い。道路の渋滞にも使う。,0,
E14408,1,5,sprawl,動詞,無秩序に広がる、大の字になる,to spread out over a large area in an untidy way,The city sprawls for miles along the coast.,その都市は海岸沿いに何マイルも無秩序に広がっている。,名詞 urban sprawl は「都市のスプロール現象」。,0,
E14409,1,5,solidify,動詞,固まる、確固たるものにする,"to become hard, or to make something stronger",The talks helped solidify the partnership.,その協議は提携を確固たるものにするのに役立った。,solid（固い）+ -ify。物にも関係や立場にも使える。,0,
E14410,1,5,nestle,動詞,心地よく寄り添う、収まる,to settle comfortably into a warm or safe place,The village nestles between two green hills.,その村は二つの緑の丘の間に静かに収まっている。,t は発音しない。建物や村が「たたずむ」意味でよく使う。,0,
E14411,1,5,aback,副詞,驚いて、不意をつかれて,in a surprised way,I was taken aback by his sharp reply.,私は彼の鋭い返答に不意をつかれた。,ほぼ be taken aback の形だけで使う。もとは帆船の用語。,0,
E14412,1,5,adrenal,形容詞,副腎の,relating to the small glands above the kidneys,Stress affects the adrenal glands.,ストレスは副腎に影響する。,adrenal gland（副腎）の形で使う。adrenaline はここから出るホルモン。,0,
E14413,1,5,amulet,名詞,お守り、護符,a small object worn to protect from bad luck,She wears a silver amulet around her neck.,彼女は首に銀のお守りを下げている。,charm や talisman に近い。魔よけの意味合いが強い。,0,
E14414,1,5,apologetic,形容詞,申し訳なさそうな,showing that you are sorry,He sent an apologetic message about the delay.,彼は遅れについて申し訳なさそうな連絡をよこした。,apology（謝罪）の形容詞。副詞は apologetically。,0,
E14415,1,5,aristocrat,名詞,貴族,a member of the highest social class,The house was built by a French aristocrat.,その家はフランスの貴族によって建てられた。,全体は aristocracy（貴族階級）。形容詞は aristocratic。,0,
E14416,1,5,arty,形容詞,芸術家気取りの、芸術風の,trying to seem interested in art,The cafe has an arty atmosphere.,そのカフェは芸術的な雰囲気がある。,くだけた語で、やや皮肉を含むことがある。米国では artsy。,0,
E14417,1,5,astrophysics,名詞,天体物理学,the study of the physics of stars and space,She studies astrophysics at a research institute.,彼女は研究所で天体物理学を学んでいる。,astro（星）+ physics。単数扱いの学問名。,0,
E14418,1,5,barbershop,名詞,理髪店,a shop where men have their hair cut,He waited an hour at the barbershop on Saturday.,彼は土曜日に理髪店で1時間待った。,barber は理髪師。女性向けは hairdresser や salon。,0,
E14419,1,5,batsmen,名詞,打者たち（クリケット）,players who hit the ball in cricket,Both batsmen scored over fifty runs.,両方の打者が50点以上を取った。,batsman の複数形。クリケットの用語で、野球では batter。,0,
E14420,1,5,behest,名詞,命令、要請,an order or a strong request from someone,The report was written at the behest of the board.,その報告書は取締役会の要請で書かれた。,ほぼ at the behest of の形。かたい書き言葉。,0,
E14421,1,5,camaraderie,名詞,仲間意識、友情,a friendly feeling among people who work together,There is real camaraderie among the crew.,乗組員の間には本物の仲間意識がある。,フランス語から。comrade（同志）と同じ語源。,0,
E14422,1,5,cask,名詞,たる,a large wooden container for liquids,The whisky aged in an oak cask for ten years.,そのウイスキーはオークのたるで10年熟成した。,barrel とほぼ同じだが、酒の熟成の話でよく使う。,0,
E14423,1,5,catwalk,名詞,ファッションショーの舞台、狭い通路,"a narrow raised path, especially for fashion models",The models walked slowly down the catwalk.,モデルたちはゆっくりと舞台を歩いた。,米国では runway とも言う。工場の高所通路も指す。,0,
E14424,1,5,confiscation,名詞,没収、押収,the act of officially taking something away,The court ordered the confiscation of the goods.,裁判所はその品物の没収を命じた。,動詞は confiscate。法律や税関の文脈で使う。,0,
E14425,1,5,conscription,名詞,徴兵制,a system that forces people to join the army,The country ended conscription in the 1990s.,その国は1990年代に徴兵制を廃止した。,米国では the draft とも言う。動詞は conscript。,0,
E14426,1,5,cranial,形容詞,頭蓋の,relating to the bones of the head,The scan showed no cranial injury.,検査で頭蓋の損傷は見られなかった。,名詞は cranium（頭蓋骨）。医学の用語。,0,
E14427,1,5,cyberspace,名詞,サイバースペース、電脳空間,the imaginary world of computer networks,Crime in cyberspace crosses national borders.,サイバースペースでの犯罪は国境を越える。,cyber + space。1980年代の小説から広まった語。,0,
E14428,1,5,deterrence,名詞,抑止、抑止力,the act of stopping something by making people afraid,Heavy fines work as deterrence against dumping.,高額の罰金は不法投棄への抑止として働く。,動詞は deter。安全保障の議論で頻出する語。,0,
E14429,1,5,druid,名詞,ドルイド僧,a priest of an ancient religion in Britain and Ireland,A druid led the ceremony at the stone circle.,ドルイド僧が環状列石で式を執り行った。,古代ケルトの宗教の祭司。歴史やファンタジーに出る。,0,
E14430,1,5,dud,名詞,不発弾、期待外れのもの,something that fails to work as expected,The new phone turned out to be a dud.,その新しい携帯は期待外れだった。,くだけた語。不発弾が元の意味で、そこから「失敗作」に。,0,
E14431,1,5,duvet,名詞,羽毛布団,a soft thick cover filled with feathers for a bed,She pulled the duvet over her shoulders.,彼女は羽毛布団を肩まで引き上げた。,フランス語から。米国では comforter と言うことが多い。,0,
E14432,1,5,extracurricular,形容詞,課外の,outside the regular school lessons,He joined several extracurricular clubs.,彼はいくつかの課外クラブに入った。,extra（外の）+ curricular（課程の）。進学の話でよく出る。,0,
E14433,1,5,faraway,形容詞,遠くの、うわの空の,"distant, or not paying attention",She dreamed of faraway countries.,彼女は遠い国々を夢見た。,a faraway look は「うわの空の表情」。名詞の前で使う。,0,
E14434,1,5,fleshy,形容詞,肉厚の、ふっくらした,thick and soft like flesh,Aloe has thick fleshy leaves.,アロエは厚みのある肉厚な葉を持つ。,flesh（肉）+ -y。植物や果実の説明でよく使う。,0,
E14435,1,5,footpath,名詞,歩道、小道,a narrow path for people to walk on,A muddy footpath leads to the river.,ぬかるんだ小道が川へ続いている。,英国語。米国では sidewalk や trail を使うことが多い。,0,
E14436,1,5,forerunner,名詞,先駆け、前身,an earlier thing that led to something later,This machine was the forerunner of the modern computer.,この機械は現代のコンピューターの先駆けだった。,fore（前）+ runner。predecessor（前任者）と似るが物にも使う。,0,
E14437,1,5,frontage,名詞,間口、正面の幅,the front part of a building facing a road,The shop has a wide frontage on the main street.,その店は大通りに面した広い間口を持つ。,不動産の用語。front（正面）+ -age。,0,
E14438,1,5,goof,動詞,へまをする、ふざける,to make a silly mistake,I goofed and sent the file to the wrong person.,私はへまをして違う人にファイルを送ってしまった。,くだけた米国語。goof off は「怠ける」。,0,
E14439,1,5,hoot,名詞,フクロウの鳴き声、警笛,"the sound an owl makes, or a loud horn",We heard the hoot of an owl in the dark.,暗闇の中でフクロウの鳴き声が聞こえた。,not give a hoot は「まったく気にしない」という言い方。,0,
E14440,1,5,humanism,名詞,人間中心主義、人文主義,a belief that focuses on human values and reason,Renaissance humanism changed European education.,ルネサンスの人文主義はヨーロッパの教育を変えた。,歴史では人文主義、現代では宗教によらない倫理観を指す。,0,
E14441,1,5,incarnate,形容詞,化身の、具現化した,"in human form, or as a perfect example",To his enemies he was evil incarnate.,敵にとって彼は悪の化身だった。,名詞のすぐ後ろに置く珍しい形容詞。名詞は incarnation。,0,
E14442,1,5,incomparable,形容詞,比べようもない、無比の,so good that nothing can be compared with it,The view from the summit is incomparable.,頂上からの眺めは比べようもない。,compare の否定形。褒め言葉として使うことがほとんど。,0,
E14443,1,5,infrequent,形容詞,まれな、頻繁でない,not happening often,Buses to the village are infrequent.,その村へのバスは本数が少ない。,反対は frequent。副詞は infrequently。,0,
E14444,1,5,ingestion,名詞,摂取、飲み込むこと,the act of taking food or liquid into the body,The label warns against ingestion of the liquid.,その表示はその液体を飲み込まないよう警告している。,動詞は ingest。医学や安全表示で使うかたい語。,0,
E14445,1,5,internment,名詞,抑留、収容,the act of holding people in a camp without trial,The museum tells the story of wartime internment.,その博物館は戦時中の抑留の話を伝えている。,動詞は intern。interior（内部）と同じ「内」が語源。,0,
E14446,1,5,juggernaut,名詞,巨大な力、巨大トラック,a very powerful force that cannot be stopped,The company became a juggernaut in online sales.,その会社はネット販売の巨大勢力になった。,英国では大型トラックの意味も。止められない勢いの比喩。,0,
E14447,1,5,largo,副詞,ゆるやかに（音楽記号）,in a slow and broad way in music,The second movement should be played largo.,第2楽章はゆるやかに演奏されるべきだ。,イタリア語の音楽用語。allegro（速く）の対になる語。,0,
E14448,1,5,larva,名詞,幼虫,a young insect before it becomes an adult,The larva feeds on leaves for two weeks.,その幼虫は2週間、葉を食べる。,複数形は larvae。理科の生物の説明で必ず出る語。,0,
E14449,1,5,lint,名詞,糸くず、綿ぼこり,small soft pieces of thread from cloth,Remove the lint from the dryer filter.,乾燥機のフィルターから糸くずを取り除いてください。,数えられない名詞。lint roller は「粘着ローラー」。,0,
E14450,1,5,livid,形容詞,激怒した、青黒い,"extremely angry, or dark blue-gray in color",She was livid when she heard about the mistake.,彼女はその失敗を聞いて激怒した。,打撲の色から「怒りで顔色が変わる」意味に広がった。,0,
E14451,1,5,loon,名詞,アビ（水鳥）,a large water bird known for its strange call,A loon called across the still lake.,アビが静かな湖の向こうで鳴いた。,北米の湖にいる鳥。loony（頭のおかしい）は別語源。,0,
E14452,1,5,lowland,名詞,低地,an area of land that is not high above the sea,Rice grows well in the lowland areas.,低地では稲がよく育つ。,反対は highland（高地）。地理の説明でよく使う。,0,
E14453,1,5,manger,名詞,飼い葉おけ,a long open box that holds food for farm animals,The baby was laid in a manger.,その赤ん坊は飼い葉おけに寝かされた。,クリスマスの物語で有名な語。manage とは無関係。,0,
E14454,1,5,manicure,名詞,マニキュア、爪の手入れ,a treatment for the hands and fingernails,She booked a manicure before the wedding.,彼女は結婚式の前に爪の手入れを予約した。,manu（手）+ cure（手入れ）。足は pedicure。,0,
E14455,1,5,materialistic,形容詞,物質主義の、金銭至上の,caring too much about money and possessions,He criticized the materialistic values of the age.,彼はその時代の物質主義的な価値観を批判した。,名詞は materialism。批判的な響きを持つ語。,0,
E14456,1,5,maturation,名詞,成熟、熟成,the process of becoming fully developed,Cheese needs a long period of maturation.,チーズには長い熟成期間が必要だ。,動詞は mature。生物の成長にも食品の熟成にも使う。,0,
E14457,1,5,mica,名詞,雲母,a shiny mineral that splits into thin sheets,Tiny pieces of mica sparkled in the rock.,岩の中で小さな雲母のかけらが光っていた。,薄くはがれる鉱物。電気の絶縁材にも使われる。,0,
E14458,1,5,minuscule,形容詞,極めて小さい,extremely small,The chance of failure is minuscule.,失敗する可能性は極めて小さい。,つづりに注意（mini- ではなく minus-）。tiny の強い言い方。,0,
E14459,1,5,moisturizer,名詞,保湿剤、乳液,a cream that keeps the skin soft and wet,Apply moisturizer after washing your face.,洗顔のあとに保湿剤をつけてください。,英国つづりは moisturiser。moisture（湿気）から。,0,
E14460,1,5,molar,名詞,臼歯、奥歯,one of the large flat teeth at the back of the mouth,The dentist filled a hole in my molar.,歯科医が私の奥歯の穴を埋めた。,前歯は incisor、犬歯は canine。歯科の基本語。,0,
E14461,1,5,mush,名詞,どろどろしたもの,a soft wet mass of something,The potatoes boiled too long and turned to mush.,ジャガイモは煮すぎてどろどろになった。,形容詞 mushy は「どろどろの」「感傷的な」。,0,
E14462,1,5,narcissist,名詞,自己愛が強い人,a person who loves and admires themselves too much,Working for a narcissist can be exhausting.,自己愛の強い人の下で働くのは疲れることがある。,ギリシャ神話のナルキッソスから。形容詞は narcissistic。,0,
E14463,1,5,navigational,形容詞,航行の、航法の,relating to finding the way for a ship or plane,The crew checked the navigational equipment.,乗組員は航行機器を点検した。,名詞は navigation。船や飛行機、地図アプリにも使う。,0,
E14464,1,5,normalization,名詞,正常化、標準化,the process of making something normal or standard,The two countries agreed on the normalization of ties.,両国は関係の正常化で合意した。,英国つづりは normalisation。外交やデータ処理で使う。,0,
E14465,1,5,nous,名詞,常識、実務的な知恵,practical good sense,She has the business nous to run a company.,彼女は会社を経営するだけの実務的な知恵がある。,英国のくだけた語。ギリシャ語で「知性」が語源。,0,
E14466,1,5,onus,名詞,責任、義務,the duty to do something or prove something,The onus is on the seller to prove the goods are safe.,商品が安全だと証明する責任は売り手にある。,the onus is on の形が定番。法律の話でよく出る。,0,
E14467,1,5,onyx,名詞,オニキス、しまめのう,a hard black stone used in jewelry,He wore a ring set with black onyx.,彼は黒いオニキスをはめた指輪をしていた。,宝石名。黒い色のたとえに使われることもある。,0,
E14468,1,5,osteoporosis,名詞,骨粗しょう症,a condition in which bones become weak and break easily,Calcium and exercise help prevent osteoporosis in older adults.,カルシウムと運動は高齢者の骨粗しょう症予防に役立つ。,osteo（骨）+ porosis（穴だらけ）。高齢者に多い病気。,0,
E14469,1,5,palazzo,名詞,宮殿風の大邸宅,a large grand building in Italy,The museum is housed in a sixteenth-century palazzo.,その博物館は16世紀の大邸宅に入っている。,イタリア語で palace のこと。複数形は palazzi。,0,
E14470,1,5,precautionary,形容詞,予防の、用心のための,done to prevent possible harm,The school closed as a precautionary measure.,その学校は予防措置として休校した。,a precautionary measure（予防措置）の形が最頻出。,0,
E14471,1,5,rayon,名詞,レーヨン（人造繊維）,a soft artificial cloth made from wood pulp,The blouse is made of rayon and cotton.,そのブラウスはレーヨンと綿でできている。,人造絹糸とも呼ばれる。nylon などと並ぶ合成繊維。,0,
E14472,1,5,reinstatement,名詞,復職、復元,the act of putting someone or something back,The union demanded the reinstatement of the workers.,組合は労働者の復職を要求した。,動詞は reinstate。制度や規則を「元に戻す」意味にも使う。,0,
E14473,1,5,rigidity,名詞,硬さ、厳格さ,the quality of not bending or not changing,The rigidity of the rules frustrated the staff.,規則の厳格さが職員をいらだたせた。,形容詞は rigid。物の硬さと考え方の固さの両方に使う。,0,
E14474,1,5,ringtone,名詞,着信音,the sound a phone makes when someone calls,Please set your phone to a quiet ringtone.,携帯を静かな着信音に設定してください。,ring（鳴る）+ tone（音）。携帯電話とともに広まった語。,0,
E14475,1,5,rosewood,名詞,ローズウッド、紫檀,a dark hard wood used for fine furniture,The guitar has a rosewood fingerboard.,そのギターはローズウッドの指板を持つ。,高級家具や楽器に使われる木材。取引が規制されている。,0,
E14476,1,5,spice up,句動詞,面白くする、味に変化をつける,to make something more interesting or exciting,Let us spice up the presentation with a short video.,短い動画で発表を面白くしよう。,料理に香辛料を足すのが元。話や生活を「刺激的にする」。,0,
E14477,1,5,dial back,句動詞,程度を抑える、控えめにする,to reduce the level or intensity of something,The company dialed back its ad spending.,その会社は広告費を抑えた。,つまみを回して下げる感じ。dial up は反対に「強める」。,0,
E14478,1,5,grind to a halt,慣用句,だんだん止まる、停滞する,to slow down and finally stop completely,Traffic ground to a halt after the accident.,事故のあと交通は完全に止まった。,過去形は ground to a halt。ゆっくり止まる感じを表す。,0,
